sub	wt	sub_start_s	sub_end_s	wt_start_s	wt_end_s	abd_FE_minus_wt
-0.11772561691700001	-0.09528585088099994	1.03306201499	0.915336398073	0.9579557323	0.862669881419	0.022439766036000064
-0.0800006909130001	-0.03715093572299999	1.03306201499	0.953061324077	0.9579557323	0.920804796577	0.042849755190000116
-0.2731148823430001	-0.06377448399800001	1.03306201499	0.759947132647	0.9579557323	0.894181248302	0.20934039834500007
-0.013098434019999994	0.012010996982000033	1.03306201499	1.01996358097	0.9579557323	0.969966729282	0.001087437037999961
-0.11416564027200005	-0.09562873509799996	1.03306201499	0.918896374718	0.9579557323	0.862326997202	0.018536905174000085
0.01759608728999984	0.012314609476000049	1.03306201499	1.05065810228	0.9579557323	0.970270341776	0.005281477813999791
-0.038555302318000084	0.011425537257000018	1.03306201499	0.994506712672	0.9579557323	0.969381269557	0.027129765061000066
-0.06749173450700008	-0.01540462525499997	1.03306201499	0.965570280483	0.9579557323	0.942551107045	0.05208710925200011
-0.07153501869400003	-0.013624597971000019	1.03306201499	0.961526996296	0.9579557323	0.944331134329	0.05791042072300001
-0.05060098694400006	-0.00846329178899996	1.03306201499	0.982461028046	0.9579557323	0.949492440511	0.0421376951550001
0.002490365839999731	0.007439585345999977	1.03306201499	1.0355523808299998	0.9579557323	0.965395317646	-0.004949219506000246
-0.582006320958	-0.626997022044	0.915336398073	0.333330077115	0.862669881419	0.235672859375	-0.04499070108600001
-0.1179061102340001	-0.03326947598700003	0.915336398073	0.7974302878389999	0.862669881419	0.829400405432	0.08463663424700008
-0.135131562155	0.122307276909	0.915336398073	0.780204835918	0.862669881419	0.984977158328	0.012824285245999989
-0.006999878025000017	0.14269705822099998	0.915336398073	0.908336520048	0.862669881419	1.00536693964	-0.13569718019599997
0.037204038058999966	0.0011933879829999494	0.915336398073	0.952540436132	0.862669881419	0.863863269402	0.03601065007600002
0.015438140945999934	0.012888980496999936	0.915336398073	0.930774539019	0.862669881419	0.875558861916	0.0025491604489999986
0.05000469004899999	0.101410478945	0.915336398073	0.965341088122	0.862669881419	0.964080360364	-0.051405788896000004
0.045019786202999956	0.06655026350399995	0.915336398073	0.960356184276	0.862669881419	0.929220144923	-0.021530477300999995
0.006419161869999912	0.05169487713199994	0.915336398073	0.921755559943	0.862669881419	0.914364758551	-0.04527571526200003
-0.619731246962	-0.6851319372019999	0.953061324077	0.333330077115	0.920804796577	0.235672859375	-0.06540069023999995
-0.056470018886999984	-0.153124825433	0.953061324077	0.89659130519	0.920804796577	0.767679971144	-0.096654806546
0.09363056398300007	-0.03387861467199993	0.953061324077	1.04669188806	0.920804796577	0.886926181905	0.05975194931100014
-0.025016335548999957	0.026990430131	0.953061324077	0.928044988528	0.920804796577	0.947795226708	-0.001974094582000041
-0.010627195388999922	-0.10756003614199994	0.953061324077	0.942434128688	0.920804796577	0.813244760435	-0.09693284075300002
-0.03737626841099995	0.07402997173799997	0.953061324077	0.915685055666	0.920804796577	0.994834768315	-0.03665370332700002
0.012497190574000006	0.013473446017000068	0.953061324077	0.965558514651	0.920804796577	0.934278242594	-0.0009762554430000625
-0.14474472535500002	-0.1427506517828	0.333330077115	0.18858535176	0.235672859375	0.0929222075922	0.0019940735722000225
0.24191856488500002	-0.130255701863	0.333330077115	0.575248642	0.235672859375	0.105417157512	0.11166286302200001
0.231770874041	0.10607957952200003	0.333330077115	0.565100951156	0.235672859375	0.341752438897	0.12569129451899996
-0.3027679365936	-0.12840536984099998	0.333330077115	0.0305621405214	0.235672859375	0.107267489534	0.17436256675260003
0.3982911388609999	0.48053619385100005	0.333330077115	0.7316212159759999	0.235672859375	0.716209053226	-0.08224505499000012
0.34776439489999994	0.37062849520800006	0.333330077115	0.681094472015	0.235672859375	0.606301354583	-0.022864100308000124
0.02530056244299994	-0.043814962421999976	0.333330077115	0.35863063955799995	0.235672859375	0.191857896953	-0.018514399979000035
0.018887024985000056	0.019610203850000008	0.759947132647	0.778834157632	0.894181248302	0.913791452152	-0.0007231788649999515
0.16553179034700005	0.024650987019000037	0.759947132647	0.925478922994	0.894181248302	0.918832235321	0.14088080332800001
0.253771276353	0.11989626340800008	0.759947132647	1.013718409	0.894181248302	1.01407751171	0.13387501294499993
0.11944344940700002	-0.05244646936599995	0.759947132647	0.879390582054	0.894181248302	0.841734778936	0.06699698004100008
0.017392755779000013	-0.16247065782900005	0.759947132647	0.777339888426	0.894181248302	0.7317105904729999	-0.14507790205000004
0.18424157402999997	-0.03301056860799989	0.759947132647	0.944188706677	0.894181248302	0.8611706796940001	0.15123100542200008
0.09831685057099993	-0.125828318253	0.759947132647	0.8582639832179999	0.894181248302	0.768352930049	-0.02751146768200008
0.17100678974600003	-0.028065445533000055	0.759947132647	0.930953922393	0.894181248302	0.8661158027689999	0.14294134421299998
0.256117227368	0.07769979521100001	0.778834157632	1.034951385	0.913791452152	0.991491247363	0.178417432157
0.27532830061799995	0.05629394042199998	0.778834157632	1.05416245825	0.913791452152	0.970085392574	0.21903436019599998
0.13069589024899997	-0.0895735609099999	0.778834157632	0.909530047881	0.913791452152	0.8242178912420001	0.04112232933900006
0.12472359832199997	-0.06035552944	0.778834157632	0.903557755954	0.913791452152	0.853435922712	0.06436806888199997
0.03625438970799999	-0.13546820204299992	0.778834157632	0.81508854734	0.913791452152	0.778323250109	-0.09921381233499993
0.09327067224199992	-0.08648190490499996	0.778834157632	0.872104829874	0.913791452152	0.827309547247	0.006788767336999957
0.11368922842000007	0.23891740706600018	0.89659130519	1.01028053361	0.767679971144	1.0065973782100002	-0.1252281786460001
